amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Sortino,Alpha,Beta,Max_Drawdown,Fund_Score
100016,0.12133574709180794,0.03891150509722663,0.023168434686413164,-0.2015170675596694,-0.35104746015230903,,,-0.24734440880673303,
100025,0.2115522724941008,0.06605771836761831,0.03912652604315703,-0.5670947928476847,-0.9418212366054207,,,-0.04308263824636349,
100033,2.1851422760063257,0.4713283804279478,0.260740682788986,1.0936987435346308,1.8291339615146942,,,-0.16217208574644848,
101206,1.534562156095911,0.3634346138918483,0.20442729550832484,1.0272133278753697,1.7995628746984524,,,-0.11291596329323073,
101207,0.39949602837173614,0.11855469085475767,0.0695333570223926,0.1626607692864677,0.27664379626092334,,,-0.3544691649336603,
101208,0.3197532354062784,0.09689294985980812,0.05705734207350055,-0.8155673679088278,-1.6810378667512837,,,-0.0016224980244717857,
102885,1.0893941214694545,0.2784197053352988,0.1587882255741997,0.8170993373494368,1.4357420130649492,,,-0.1085986215250232,
102886,0.05259010566641931,0.017231408330921072,0.010303498015576507,-0.20583160785470314,-0.34722230254727277,,,-0.2800112356639287,
102887,0.9833649182690722,0.25641817181870263,0.146781096489218,0.6195175900829828,1.0887552508030014,,,-0.21539827112383225,
118632,1.581025776312687,0.37171571434369,0.2088111809083788,1.0816591793457044,1.8501325468557264,,,-0.17414075086657232,
118633,0.9413736976407057,0.24748801080643745,0.14188358083768593,0.6452074382933215,1.1544757169236237,,,-0.18629743138595511,
118634,0.9486756883468674,0.24905009183643667,0.14274127320122987,0.4484340089089914,0.7460146308533572,,,-0.2334488614483311,
118635,0.9181955445137688,0.24250351487170496,0.13914386506748544,0.6648569985490619,1.137976718780742,,,-0.1165062450540909,
118636,0.2559870098820529,0.0789344227876172,0.046639279794601585,-0.356629507514368,-0.6135251287271027,,,-0.08316361763638702,
119092,0.31208157618991095,0.09476342371153068,0.055825550357928355,0.030784850954585913,0.05257398559304797,,,-0.1440161790933726,
119093,0.3971468886019036,0.11792848617173246,0.06917406025598449,0.12961449795669325,0.22108683979276347,,,-0.21751396370148224,
119094,1.984644733779097,0.43978467938224286,0.24445308534360555,0.9982309868636414,1.7037974802463003,,,-0.20960883862039192,
119095,0.0686945727460695,0.02239300143779821,0.013376247776951455,-0.07597357117478923,-0.12818559275851932,,,-0.5167775370852656,
119120,0.2863065419052615,0.08754731234658863,0.051644356698553606,-0.22657538662791596,-0.3767670081706672,,,-0.04328728923970093,
119551,1.7456091318290134,0.40027360839965875,0.22384873172214603,1.2082665673727175,2.140267129061793,,,-0.1501238549864533,
119552,1.3577273209694374,0.3309585343291288,0.18713118910689763,0.9532794968660103,1.609776489628308,,,-0.11803493502764295,
119598,2.440435366035485,0.5096321437793401,0.28033223731546975,0.9453082575156093,1.6753165700125516,,,-0.2870600572176455,
119599,0.09360074230352522,0.03027445550195118,0.01805621440370042,-0.05718662582817997,-0.09438726129459607,,,-0.5257422117012851,
120503,1.1327297047021299,0.2871977519716802,0.16355566129520227,0.7979728586052847,1.3379431500669237,,,-0.13897862823061635,
120504,1.512678852286217,0.35949932050849154,0.20234028033314222,1.0265242847993004,1.8052937940992548,,,-0.12588275606922517,
120505,2.4868405558172393,0.5163892474227718,0.2837676208804263,1.1801011976606495,2.0293529404657464,,,-0.18188513572116294,
120506,1.0016337920258476,0.2602640313458462,0.1488859671244569,0.6488787755249532,1.0958951614736467,,,-0.1982565826298267,
120507,0.35993388503793766,0.10791369741801704,0.06341690270358713,0.4957233929533124,1.0521238822609293,,,-0.0009773140045925555,
120841,0.7478692126146964,0.20458183813898856,0.1181544242649819,0.49427253786723496,0.8625738849916581,,,-0.1757361416468729,
120842,0.33028095901105003,0.09980188140236823,0.05873842419478348,0.07599984804658917,0.12469346986475664,,,-0.24003511326274884,
120843,2.2704780909220226,0.48435261315882916,0.2674249401072899,1.3067439695428407,2.364320032166718,,,-0.1297396816518679,
120844,0.34204459000881515,0.10303420960397913,0.060604313665645115,-0.08874729621557331,-0.1877230477424232,,,-0.0011629327956168556,
125497,1.1511548006469048,0.2908939181250678,0.16555918956858906,0.7757902498211207,1.3306512447571366,,,-0.15200013055606398,
125498,0.6017590599752203,0.17003556518261354,0.09880199138430035,0.3006119210425478,0.508812819716923,,,-0.21117279560132118,
148567,2.2778108336631013,0.48546114133529206,0.2679927700697151,1.4482911703262595,2.385644373368818,,,-0.11265729075028275,
148568,1.4436430502511426,0.34693278049810217,0.1956595954624316,0.9262873467360146,1.6327409778735162,,,-0.1527259422823477,
148569,2.386580971519645,0.5017137408003938,0.2762985997578453,1.2349300257743296,2.1469139263460555,,,-0.1639674294693263,
149322,0.738477941499083,0.2024205635316143,0.11695026862847113,0.4640374492204777,0.7621288703723165,,,-0.14844576917771746,
149323,2.127175888517019,0.4623481150011528,0.256118065778393,1.1321218524747245,1.875101063919208,,,-0.17248105753451382,
149324,2.424905792506005,0.5073573051158484,0.2791743018490922,0.9497958246616031,1.619793176491409,,,-0.31171900300634214,
